github_url,stars
github.com/arnauqb/qwind.jl,2
github.com/aroffringa/aartfaac2ms,2
github.com/artificialstellarpopulations/artpop,61
github.com/artis-mcrt/artis,17
github.com/arviz-devs/arviz,1710
github.com/asgr/celestial,9
github.com/asgr/hyper.fit,7
github.com/asgr/nfwdist,0
github.com/asgr/profound,48
github.com/asgr/profuse,8
github.com/asgr/propane,1
github.com/asgr/prospect,26
github.com/asgr/rfits,11
github.com/asgr/rwcs,7
github.com/ashleychontos/pysyd,27
github.com/ashleyspindler/astrovader-public,3
github.com/askap-craco/celebi,5
github.com/assumpcaothiago/nrpyelliptic,7
github.com/astarvienna/skycalc_ipy,4
github.com/astertaylor/samus,1
github.com/astro-datalab/nsc,6
github.com/astro-friedel/cadre,1
github.com/astro-group-bristol/gradus.jl,28
github.com/astro-informatics/bianchi,0
github.com/astro-informatics/comb,0
github.com/astro-informatics/darkmappy,2
github.com/astro-informatics/fastcswt,4
github.com/astro-informatics/flag-archive,1
github.com/astro-informatics/flaglet-archive,0
github.com/astro-informatics/harmonic,69
github.com/astro-informatics/massmappy,6
github.com/astro-informatics/quantifai,10
github.com/astro-informatics/requisim,1
github.com/astro-informatics/s2,0
github.com/astro-informatics/s2fft,198
github.com/astro-informatics/s2let,19
github.com/astro-informatics/ssht,12
github.com/astro-informatics/stringgen,3
github.com/astro-sean/autophot,28
github.com/astro-sean/escatter,3
github.com/astro-seanwhy/exoint,3
github.com/astroaccelerateorg/astro-accelerate,47
github.com/astroboylrx/plan,5
github.com/astroboylrx/rubble,6
github.com/astrobrent/itera,1
github.com/astrobrent/mappings,4
github.com/astrocaroline/opacity-wizard,5
github.com/astrocatalogs/astrocats,40
github.com/astrochem/visible,13
github.com/astrockragh/mangrove,24
github.com/astrocv/astrocv,85
github.com/astrogilda/mirkwood,10
github.com/astrogpu/swarm,17
github.com/astrom-tom/spartan,1
github.com/astrom-tom/specstack,3
github.com/astromatic/swarp,40
github.com/astromatic/visiomatic,40
github.com/astromatic/weightwatcher,2
github.com/astromb/picsar2d,7
github.com/astromer-science/main-code,6
github.com/astroml/gatspy,87
github.com/astronomical-data-processing/rapp,3
github.com/astronomyk/simcado,5
github.com/astropatel/twinkle,3
github.com/astropy/astroplan,209
github.com/astropy/astroquery,739
github.com/astropy/astroscrappy,77
github.com/astropy/ccdproc,90
github.com/astropy/halotools,115
github.com/astropy/photutils,276
github.com/astropy/pyvo,79
github.com/astropy/reproject,116
github.com/astropy/specutils,186
github.com/astropy/spisea,66
github.com/astrorama/sourcextractorplusplus,81
github.com/astrosmili/smili,52
github.com/astrostat/automark,3
github.com/astrostat/bascs,6
github.com/astrostat/lira,14
github.com/astrostat/td-carma,0
github.com/astrosupriyo/pytanspec,1
github.com/astroua/scimes,19
github.com/astroua/turbustat,66
github.com/astrougent/shadowfax,17
github.com/astroumd/miriad,3
github.com/astrovpk/kali,14
github.com/astroweaver/the_farmer,11
github.com/atakan/keplersolver,0
github.com/atchekho/harmpi,66
github.com/atomec-project/atomec,17
github.com/auckland-cosmo/defrost-mpi,0
github.com/auckland-cosmo/interp-mc,0
github.com/auckland-cosmo/pspectre,2
github.com/auckland-cosmo/pyultralight,16
github.com/austinpeel/herculens,27
github.com/autostronomy/astrophot,94
github.com/autostronomy/autoprof,33
github.com/aviadpi/sparsebls,1
github.com/avigan/pyzelda,3
github.com/avigan/sphere,11
github.com/awmann/m_-m_k-,8
github.com/awsteiner/bamr,9
github.com/awsteiner/o2scl,36
github.com/axgoujon/convex_ridge_regularizers,19
github.com/azeret/galimf,19
github.com/aztekas-code/aztekas-main,6
github.com/b-thorne/pysm_public,24
github.com/backyardworlds/wiseview,3
github.com/baptklein/atmospherix_data_red,2
github.com/bareid/cosmoxi2d,2
github.com/barentsen/dave,6
github.com/barentsen/k2flix,4
github.com/barklem/abo-cross,7
github.com/barklem/hlinop,5
github.com/barklem/kaulakys,0
github.com/barklem/mswavef,1
github.com/barnabytprowe/imcom,5
github.com/basilioruiz/sir-code,9
github.com/basp-group/airi,3
github.com/basp-group/buqo,5
github.com/basp-group/faceted-hypersara,3
github.com/basp-group/optical-interferometry-trilinear,2
github.com/basp-group/puri-psi,0
github.com/basp-group/purify,14
github.com/basp-group/r2d2-ri,7
github.com/basp-group/sara-dimensionality-reduction,4
github.com/basp-group/sara-ppd,1
github.com/basp-group/sopt,21
github.com/bastacode/basta,23
github.com/bayesflare/bayesflare,7
github.com/bayesianstellarevolution/base-cpp,6
github.com/bayesn/bayesn,13
github.com/bbercovici/sbgat,4
github.com/bcalden/clusterpyxt,29
github.com/bccp/nbodykit,113
github.com/bcerutti/zeltron-code,21
github.com/bd-j/forcepho,20
github.com/bd-j/prospector,171
github.com/bd-j/sedpy,33
github.com/bdnyc/sedkit,22
github.com/beast-fitting/beast,26
github.com/beastraban/insane,0
github.com/beckermr/calclens,2
github.com/beckrob/photo-z-sql,2
github.com/bek0s/gbkfit,2
github.com/bek0s/gbkfit-legacy,4
github.com/ben-cassese/squishyplanet,8
github.com/bencebeky/spotrod,5
github.com/benmontet/f3,21
github.com/benrendle/aims,3
github.com/benstahl92/deepsip,6
github.com/benyhh/ml-telescope-pointing-correction,1
github.com/berczik/phi-gpu-mole,5
github.com/bertrandplez/turbospectrum2019,21
github.com/bertrandplez/turbospectrum_nlte,21
github.com/beryl-jingxin/pyexocross,4
github.com/bezuidenhoutmc/seekat,10
github.com/bfalck/origami,2
github.com/bfarr/exocartographer,6
github.com/bfarr/kombine,34
github.com/bgps/distance-omnibus,2
github.com/bhorowitz/hyphy-public,0
github.com/biapyx/biapy,178
github.com/bill-cotton/obit,8
github.com/bill-gray/find_orb,113
github.com/binary-rainer/binary-speckle,0
github.com/birnstiel/two-pop-py,9
github.com/biswajitmb/darpanx,2
github.com/blackjax-devs/blackjax,936
github.com/blankhaar/portal,5
github.com/blanton144/kcorrect,20
github.com/blast-warpx/warpx,359
github.com/bmorris3/aesop,3
github.com/bmorris3/fleck,20
github.com/bmoster/emerge,4
github.com/bogdanciambur/profiler,5
github.com/bolverk/huji-rich,16
github.com/bonfanti88/mcmci,6
github.com/bpairet/mayo_hci,7
github.com/brackham/speclib,3
github.com/bradgreig/21cmmc,6
github.com/bradkav/antiparticledm,1
github.com/bradkav/blackholesdarkdress,10
github.com/bradkav/cevns,17
github.com/bradkav/dmradon,0
github.com/bradkav/earthscatterlikelihood,0
github.com/bradkav/earthshadow,6
github.com/bradkav/nbodyimri,7
github.com/bradkav/rundm,5
github.com/bradkav/verne,4
github.com/bradkav/wimpy_nreft,11
github.com/brandon-rhodes/pyephem,848
github.com/brandon-rhodes/python-jplephem,120
github.com/brandonckelly/carma_pack,41
github.com/bregaldo/pywst,12
github.com/bretonr/icarus,16
github.com/bretthandrews/flexce,18
github.com/brinckmann/montepython_public,97
github.com/brockww/bubblefindingalgorithm,5
github.com/browndwarf/gollum,22
github.com/bruce-chappell/sunnynet,3
github.com/bsafdi/nptfit,11
github.com/bsafdi/stellarwakes,5
github.com/bsumlin/pymiescatt,115
github.com/bu-hammerteam/pyhammer,55
github.com/bwengals/ccsnmultivar,3
github.com/bwinkel/cygrid,36
github.com/bwinkel/cysgp4,24
github.com/bwinkel/pycraf,48
github.com/bwkeller/pasta,3
github.com/bwoshea/zeus-mp_2,9
github.com/bwvdnbro/cmacionize,23
github.com/bwvdnbro/hydrocode1d,1
github.com/c-briddon/selcie,3
github.com/c-white/blacklight,14
github.com/cadenarmstrong/simutrans,3
github.com/cajohare/neutrinofog,24
github.com/cajoterbraak/demc2,1
github.com/calboo/potential_field_calculator,2
github.com/calboo/tawas,0
github.com/calboo/wigglewave,1
github.com/california-planet-search/radvel,63
github.com/callendeprieto/ferre,18
github.com/caltech-ipac/montage,116
github.com/cameronliang/bayesvp,7
github.com/candebellavita/vkompth,6
github.com/captain-exoplanet/misttborn,11
github.com/caracal-pipeline/caracal,32
github.com/caracal-pipeline/stimela,6
github.com/carlosandrepaes/gapp,20
github.com/carloscoba/xooksuut-code,1
github.com/carpenterphysics/darkflux,3
github.com/carpyncho/carpyncho-py,1
github.com/carronj/lensit,26
github.com/carronj/lenspyx,16
github.com/carronj/plancklens,23
github.com/casacore/casacore,125
github.com/casaluca/bolometric-corrections,20
github.com/caseyjlaw/rtpipe,13
github.com/caseyjlaw/tpipe,7
github.com/castro-gzlz/mr-plotter,22
github.com/castro-gzlz/tess-cont,7
github.com/catarinammarques/fishercosmology,2
github.com/catboost/catboost,8494
github.com/catherinezucker/radfil,15
github.com/cavendishastrophysics/anmap,0
github.com/cavendishastrophysics/postmortem,0
github.com/caymanunterborn/exoplex,27
github.com/cblakeastro/intensitypower,2
github.com/cbottrell/realsim,11
github.com/cbottrell/realsim_ifs,9
github.com/cconroy20/alf,11
github.com/cconroy20/fsps,92
github.com/ccsoni/phantom-grape,1
github.com/cdfortenbach/jet,2
github.com/cdominik/optool,32
github.com/cdslaborg/paramonte,290
github.com/cdw9bf/compactgroup,2
github.com/cea-cosmic/pysap,56
github.com/centowen/stacker,3
github.com/cespinosa/pyhiiexplorerv2,3
github.com/cgarraffo/stelnet,1
github.com/cgobat/asymmetric_uncertainty,18
github.com/ch-var/smart,1
github.com/chakrah/sage,3
github.com/chandra-marx/marxs,8
github.com/chandracxc/iris,4
github.com/changhoonhahn/provabgs,18
github.com/changhoonhahn/pyspectrum,10
github.com/cheerfuluser/tessreduce,24
github.com/chelseah/simutrans,0
github.com/chemapalencia/m_smile,3
github.com/cheng-zhao/fcfc,24
github.com/chenjj2/forecaster,23
github.com/chenmi0619/galmoss,17
github.com/chenwuperth/rgz_rcnn,37
github.com/chenyangyao/hipp,12
github.com/chervias/dustfilaments,0
github.com/ches2023/pymsofa,32
github.com/chfeder/turbulence_generator,13
github.com/chianti-atomic/chiantipy,70
github.com/chihchunhsu/smart,8
github.com/chileanvirtualobservatory/indexing_utfsm,0
github.com/cholla-hydro/cholla,69
github.com/chrisbeaumont/brut,13
github.com/chrishales/pieflag,3
github.com/christiangil/stellarspectraobservationfitting.jl,7
github.com/christinahedges/contaminante,7
github.com/christinahedges/tess-sip,17
github.com/christopherlovell/sengi,4
github.com/christophmschaefer/miluphcuda,34
github.com/cieslar/indri,3
github.com/cirada-tools/rm-tools,48
github.com/cjcollin37/isofate,4
github.com/ckarako/rrattrap,2
github.com/ckay314/osprei,6
github.com/ckm3/deep-transit,8
github.com/clemson-cal/sailfish,12
github.com/cloudflex-project/cloudflex,4
github.com/clustermontecarlo/cmc-cosmic,17
github.com/clwainwright/cosmotransitions,36
github.com/cmancone/easygalaxy,13
github.com/cmateu/galstreams,58
github.com/cmateu/pymgc3,9
github.com/cmaureir/gravidy,6
github.com/cmbant/getdist,165
github.com/cmccully/astroscrappy,0
github.com/cmillion/gphoton,21
github.com/cmoestl/3dcore,7
github.com/cmpa/ipic3d,74
github.com/cnsetzer/kilopop,1
github.com/cobayasampler/cobaya,148
github.com/coccoinomane/song,15
github.com/coccoinomane/zelda,1
github.com/cointoolbox/actsnclass,10
github.com/cointoolbox/cosmophotoz,4
github.com/cointoolbox/dracula,4
github.com/coldthunder/nr-code,1
github.com/collinerickson/gaupro,16
github.com/combustiontoolbox/combustion_toolbox,34
github.com/compas/grasp,74
github.com/conormacbride/mcalf,10
github.com/conornally/starbug2,5
github.com/coolworlds/exoinformatics,3
github.com/coolworlds/exopriors,2
github.com/cosimonigro/agnpy,52
github.com/cosmic-popsynth/cosmic,50
github.com/cosmicfish/cosmicfish,12
github.com/cosmicinflation/aspic,5
github.com/cosmicinflation/fieldinf,1
github.com/cosmicrays/dragon,16
github.com/cosmicrays/hermes,27
github.com/cosmo-ethz/cosmohammer,17
github.com/cosmo-ethz/hide,9
github.com/cosmo-ethz/seek,17
github.com/cosmodesi/pycorr,31
github.com/cosmoglobe/zodipy,11
github.com/cosmograil/pycs,4
github.com/cosmoinin/mgpt,3
github.com/cosmolattice/cosmolattice,44
github.com/cosmolike/cosmocov,14
github.com/cosmostat/cosmopmc,2
github.com/cosmostat/glimpse,6
github.com/cosmostat/mccd,13
github.com/cosmostat/nicaea,3
github.com/cosmostat/pmclib,0
github.com/cosmostat/score,7
github.com/cosmostat/shapepipe,17
github.com/cosmostatgw/darksirensstat,12
github.com/cosmostatgw/gwfast,45
github.com/cosmostatgw/mgcosmopop,16
github.com/cosmostatgw/wf4py,17
github.com/cosmotool/eclipse,1
github.com/cpiaulet/smint,9
github.com/cpinte/casa_cube,2
github.com/cpinte/mcfost,26
github.com/cpinte/pymcfost,22
github.com/cpm-project/mcpm,3
github.com/creanero/locus,1
github.com/creanerodias/beammodeltester,0
github.com/crpropa/crpropa2,0
github.com/crpropa/crpropa3,75
github.com/csabiu/kstat,0
github.com/csalyk/spectools_ir,10
github.com/cschreib/egg,19
github.com/csj607/stars,3
github.com/cudisc/cudisc,9
github.com/cullanhowlett/nfwdist,3
github.com/cvbuchem/lavatmos,8
github.com/cvxopt/cvxopt,1018
github.com/cweniger/swordfish,19
github.com/cwru-pat/cmb-multipole_vectors,1
github.com/cwru-pat/cosmograph,14
github.com/cy-xu/cosmic-conn,26
github.com/cylammarco/aspired,30
github.com/cylammarco/wdphottools,20
github.com/d-crake/headss,0
github.com/d4san/multirex-public,2
github.com/daddeptr/needlets,0
github.com/dalya/sequencer,124
github.com/dalya/weirdestgalaxies,32
github.com/damocles-code/damocles,2
github.com/damonge/colore,20
github.com/damonge/crime,4
github.com/damonge/cute,38
github.com/damonge/schnell,4
github.com/danhey/echelle,21
github.com/danhey/maelstrom,7
github.com/daniel-muthukrishna/astrodash,39
github.com/daniel-muthukrishna/astrorapid,16
github.com/danielacarrasco/glaciar,9
github.com/danielapai/bioverse,7
github.com/danielemelini/alma3,10
github.com/danielemichilli/dm_phase,25
github.com/danielemichilli/lsps,0
github.com/danielemichilli/sps,4
github.com/danieljprice/dustywave,0
github.com/danieljprice/ndspmhd,4
github.com/danieljprice/phantom,124
github.com/danieljprice/splash,61
github.com/danielkoll/pyrads,33
github.com/danielkoll/tidally-locked-coordinates,7
github.com/daniellefenech/serpent,0
github.com/danielrd6/ifscube,4
github.com/danielreardon/scintools,20
github.com/danxhuber/evolstate,3
github.com/danxhuber/galclassify,5
github.com/dariagangardt/pagn,12
github.com/darkquestcosmology/dark_emulator_public,23
github.com/darrencroton/sage,21
github.com/dartoon/galight,49
github.com/davi-rodrigues/ccbh-numerics,1
github.com/davi-rodrigues/navanalysis,2
github.com/david-deboer/radiobear,4
github.com/davideamato/naples,4
github.com/davidharvey1986/pyrrg,3
github.com/davidkipping/eccsamples,0
github.com/davidkipping/flicker,0
github.com/davidkipping/inversebeta,0
github.com/davidkipping/ldc3,3
github.com/davidkipping/macula,1
github.com/davidkipping/mah,0
github.com/davidpamos/multimodes,2
github.com/davidt3/xga,34
github.com/davtsang/slimplectic,19
github.com/dawolfgang/mrrelation,2
github.com/dbosul/cwitools,10
github.com/dbuscher/pois,5
github.com/dcorre/otrain,2
github.com/deaglanbartlett/symbolic_pofk,11
github.com/dealii/dealii,1531
github.com/deannashields/spirality,3
github.com/debduttapaul/luminosity_function_of_lgrbs,3
github.com/debduttapaul/luminosity_function_of_sgrbs,0
github.com/dedalusproject/dedalus,589
github.com/dedalusproject/eigentools,13
github.com/deepskies/deeplenstronomy,33
github.com/deepsphere/deepsphere-cosmo-tf1,133
github.com/delphes/delphes,113
github.com/demorest/nanopipe,7
github.com/dendrograms/astrodendro,44
github.com/denisleahy/roche-radius-calculator,1
github.com/denisleahy/snrmodels,13
github.com/deniswerth/cosmoflow,10
github.com/dentalfloss1/rats,1
github.com/desihub/desitarget,23
github.com/desihub/fastspecfit,16
github.com/devanshkv/fetch,50
github.com/devries/analytic_infall,1
github.com/dewberryjanosz/polyrot,0
github.com/deyht/cianna,49
github.com/dfm/celerite,185
github.com/dfm/corner.py,541
github.com/dfm/exopop,5
github.com/dfm/ketu,11
github.com/dfm/kplr,39
github.com/dfm/photodynam,4
github.com/dfm/python-bls,16
github.com/dfm/python-fsps,71
github.com/dgerosa/gwdet,10
github.com/dgerosa/precession,36
github.com/dgerosa/spops,6
github.com/dgerosa/surrkick,17
github.com/dgrin1/axioncamb,21
github.com/dh4gan/grapus,0
github.com/dhubber/seren,14
github.com/dingshandeng/diskmint,3
github.com/dipangwvu/spegid,2
github.com/dipto4/falcon_dm,0
github.com/dirac-institute/asterogap,1
github.com/directdm/directdm-mma,1
github.com/directdm/directdm-py,6
github.com/discsim/frank,20
github.com/djarmstrong/transitsom,1
github.com/djbard/ccogs,14
github.com/djgroen/mpwide,7
github.com/djones1040/pythonphot,40
github.com/djsutherland/py-sdm,48
github.com/dkhaz/bingo,4
github.com/dkirkby/gphist,4
github.com/dlakaplan/pulsarsurveyscraper,7
github.com/dmentipl/plonk,38
github.com/dmgw-goethe/imripy,12
github.com/dmilakovic/qsosim10,1
github.com/dmvandamt/beyonce,0
github.com/dnarayanan/powderday,22
github.com/dnwrnr/sgp4,159
github.com/dokester/bayesicfitting,55
github.com/dokkum/maskfill,24
github.com/dolaver/calsagos,8
github.com/domeckert/hydromass,3
github.com/domeckert/proffit,0
github.com/donghiagroup/mgwave,1
github.com/doriancazeneuve/odnet,1
github.com/dpthorngren/planetslicer,0
github.com/drexellenser/lenser,3
github.com/drjiezheng/meanoffset,0
github.com/drphilmarshall/humvi,18
github.com/drphilmarshall/pangloss,10
github.com/drupke/ifsfit,6
github.com/drupke/ifsred,8
github.com/drupke/questfit,1
github.com/ds283/cpptransport,4
github.com/dsavransky/exosims,34
github.com/dsheward-astro/pynaple,6
github.com/dstndstn/astrometry.net,750
github.com/dstndstn/tractor,88
github.com/dtamayo/reboundx,105
github.com/dtanoglidis/deepshadows,18
github.com/dtsuna/binary_precursor,1
github.com/dtsuna/chips,12
github.com/duducosmos/pycosmicstar,2
github.com/duetosymmetry/qnm,45
github.com/duffell/disco,18
github.com/duffell/rt1d,9
github.com/dullemond/radmc3d-2.0,72
github.com/duncanforgan/grapus,0
github.com/duncanforgan/oberon,2
github.com/duncanforgan/tache,6
github.com/dusanmarceta/synthetic-population-of-interstellar-objects,3
github.com/dvallesp/asohf,4
github.com/dvallesp/vortex,9
github.com/dvallesp/vortex-p,1
github.com/dwkim78/astride,55
github.com/dwkim78/pdtrend,12
github.com/dwkim78/upsilon,44
github.com/dylan-aliberti/kepler-collisions,0
github.com/dylancromer/maszcal,2
github.com/dylancromer/ostrich,2
github.com/dynamics-of-stellar-systems/dynamite,19
github.com/dzesmin/tea,28
github.com/e-koch/filfinder,42
github.com/e-merlin/emerlin_casa_pipeline,14
github.com/eabaron/synow,2
github.com/eaobservatory/jcmt_coadd,0
github.com/eas342/tshirt,9
github.com/ebachelet/pylima,33
github.com/ebellm/pyraf-dbsp,8
github.com/eblur/dust,8
github.com/ebmonson/2dfftutils-module,1
github.com/edanrein/pyppluss,3
github.com/edoardocarlesi/cmbeasy,4
github.com/eelregit/covdisc,5
github.com/eelregit/mcfit,34
github.com/eelregit/pmwd,83
github.com/egaraldi/zinco,1
github.com/eggplantbren/dnest3,20
github.com/eggplantbren/dnest4,70
github.com/eggplantbren/exoplanet,1
github.com/eggplantbren/rjobject,4
github.com/eggplantbren/rmhb,0
github.com/egjergo/galcem,11
github.com/egpbos/barcode,1
github.com/egstrom/cluster-in-a-box,1
github.com/eigendev/simbi,11
github.com/einsteinpy/einsteinpy,650
github.com/ejhigson/dypolychord,22
github.com/ejhigson/nestcheck,15
github.com/ejhigson/perfectns,5
github.com/ejsafron/satchel,1
github.com/ekaterinailin/altaipony,26
github.com/ekerrison/radiosed,4
github.com/el2718/fastqsl,6
github.com/eleeastro/gcmcrt,17
github.com/eleeastro/mini_chem,4
github.com/eliabcanul/nauyaca,1
github.com/eliotayache-nv/gamma,11
github.com/elisej/astroabc,40
github.com/elisej/superabc,1
github.com/elizakempton/exo_transmit,36
github.com/elnjensen/tapir,11
github.com/elseviersoftwarex/softx-d-23-00559,0
github.com/elseviersoftwarex/softx_2020_119,0
github.com/elsner/arkcos,2
github.com/eltevo/steps,13
github.com/emacss/emacss,16
